distanciaNumero;distanciaDescripcion;banderaId;lat;lng;sucursalNombre;id;sucursalTipo;provincia;direccion;banderaDescripcion;localidad;comercioRazonSocial;comercioId;sucursalId
791.2161;791.22 kilómetros;1;-27.477092;-58.815872;Corrientes;10-1-159;Hipermercado;AR-W;Av. Ferré 2985;Hipermercado Carrefour;Corrientes;INC S.A.;10;159
536.3872;536.39 kilómetros;1;-29.7794731;-58.073937;575 - CURUZU-CUATIA;15-1-575;Autoservicio;AR-W;Uruguay 1470 None;Supermercados DIA;CORRIENTES;DIA Argentina S.A;15;575
611.2948;611.29 kilómetros;1;-29.1370;-59.2646;Goya II;9-1-688;Supermercado;AR-W;Belgrano Gral Manuel 799;Vea;GOYA;Jumbo Retail Argentina S.A.;9;688
808.1682;808.17 kilómetros;1;-27.317845;-58.571672;632 - PASO DE LA PATRIA;15-1-632;Autoservicio;AR-W;La Rioja 560 None;Supermercados DIA;CORRIENTES;DIA Argentina S.A;15;632
573.2442;573.24 kilómetros;5;-33.131160;-64.382400;Rio IV;11-5-1002;Hipermercado;AR-X;Juan B Justo 2052;Walmart SuperCenter;RIO CUARTO;Wal Mart Argentina S.R.L.;11;1002
642.2165;642.22 kilómetros;5;-31.391634;-64.158483;Córdoba Este;11-5-3606;Hipermercado;AR-X;Mauricio Yadarola 1699;Walmart SuperCenter;CIUDAD DE CORDOBA NORTE;Wal Mart Argentina S.R.L.;11;3606
659.3295;659.33 kilómetros;1;-31.3451;-64.3388;La Calera..;9-1-485;Supermercado;AR-X;Moyano Saul 200;Vea;CORDOBA;Jumbo Retail Argentina S.A.;9;485
641.9768;641.98 kilómetros;3;-31.426127;-64.183581;Chacabuco 727;10-3-607;Autoservicio;AR-X;Chacabuco 727;Express;Córdoba;INC S.A.;10;607
571.6828;571.68 kilómetros;1;-31.9151891;-63.6792919;1515 - ONCATIVO;15-1-1515;Autoservicio;AR-X;Cl Belgrano 941;Supermercados DIA;CORDOBA;DIA Argentina S.A;15;1515
1336.4795;1336.48 kilómetros;1;-24.1829;-65.3063;Guemes 955;9-1-646;Supermercado;AR-Y;Guemes Gral Martin Miguel De 955;Vea;SAN SALVADOR DE JUJUY;Jumbo Retail Argentina S.A.;9;646
1332.2395;1332.24 kilómetros;2;-24.211767;-65.277658;Maxi Comodin;6-2-2;Supermercado;AR-Y;Avda. Corrientes 2380;Maxi Comodin;San Salvador de Jujuy;Alberdi S.A.;6;2
1310.8614;1310.86 kilómetros;2;-24.224910;-64.860412;San Pedro Jujuy;11-2-1111;Hipermercado;AR-Y;San Gabriel 712;Changomas;SAN PEDRO;Wal Mart Argentina S.R.L.;11;1111
1335.2993;1335.30 kilómetros;1;-24.192925;-65.302280;Comodin 17;6-1-17;Autoservicio;AR-Y;Dorrego Esq. Avda. El Exodo None;Supermercados Comodin;San Salvador de Jujuy;Alberdi S.A.;6;17
1336.1561;1336.16 kilómetros;2;-24.185348;-65.304604;Jujuy;10-2-122;Hipermercado;AR-Y;Belgrano 823;Market;Jujuy;INC S.A.;10;122
1525.6781;1525.68 kilómetros;1;-46.444906;-67.533789;Caleta Olivia;10-1-63;Hipermercado;AR-Z;Humberto Beghin 762;Hipermercado Carrefour;Santa Cruz;INC S.A.;10;63
2086.9019;2086.90 kilómetros;1;-51.628910;-69.237560;RIO GALLEGOS 7;2-1-198;Supermercado;AR-Z;Corrientes 1308;La Anonima;Rio Gallegos;S.A. Importadora y Exportadora de la Patagonia;2;198
2197.5963;2197.60 kilómetros;1;-51.535550;-72.336170;RIO TURBIO;2-1-138;Supermercado;AR-Z;Moyano 200;La Anonima;Yacimientos Rio Turbio;S.A. Importadora y Exportadora de la Patagonia;2;138
1588.483;1588.48 kilómetros;1;-47.743490;-65.886990;PUERTO DESEADO;2-1-097;Supermercado;AR-Z;Perito Moreno 945;La Anonima;Puerto Deseado;S.A. Importadora y Exportadora de la Patagonia;2;097
2085.2106;2085.21 kilómetros;1;-51.615010;-69.227860;GALLEGOS 5;2-1-124;Supermercado;AR-Z;Mendoza 36;La Anonima;Rio Gallegos;S.A. Importadora y Exportadora de la Patagonia;2;124
